Demon's Souls,3.9,2.91,1.02,1.0499999999999998,0.54,5.5200000000000005
Donkey Kong Country,3.9,19.799999999999997,8.73,10.77,1.2900000000000003,40.589999999999996
Dragon Ball Z: Budokai Tenkaichi 3,3.9,1.48,0.37,1.02,1.1800000000000002,4.04
Batman: Arkham Asylum,3.9,4.43,2.58,0.09000000000000001,0.97,8.07
Donkey Kong Country Returns,3.9,3.98,2.46,1.4300000000000002,0.59,8.46
Deadly Premonition,3.9,0.26,0.11,0,0.04,0.42000000000000004
Metal Gear Solid 4: Guns of the Patriots,3.9,2.63,1.74,0.83,0.83,6.03
The Legend of Zelda: Link's Awakening,3.9,6.63,2.88,1.62,0.39,11.49
WarioWare: Smooth Moves,3.9,0.87,1.06,0.73,0.26,2.92
Tales of Symphonia,3.9,0.75,0.33999999999999997,0.44,0.1,1.6400000000000001
F-Zero X,3.9,0.45,0.33,0.29,0.03,1.1
Left 4 Dead 2,3.9,5.34,2.42,0.1,0.8200000000000001,8.719999999999999
Beyond Good & Evil,3.9,0.24,0.15,0,0.04,0.43000000000000005
Mario Kart Wii,3.9,47.55,38.64,11.370000000000001,9.93,107.46000000000001
Bayonetta,3.9,2.8499999999999996,2.01,0.8999999999999999,0.7499999999999999,6.51
Uncharted 2: Among Thieves,3.9,3.27,2.25,0.21,1,6.73
Tales of Vesperia,3.9,0.32,0.18,0.64,0.05,1.2
Super Mario 3D World,3.9,4.22,2.22,1.44,0.6,8.5
Doom,3.9,0.53,0.33999999999999997,0,0.05,0.92
The Warriors,3.9,0.88,0.1,0,0.11,1.09
Sid Meier's Civilization V,3.9,0.98,0.52,0,0.19,1.69
Mario Kart: Double Dash!!,3.9,4.12,1.77,0.87,0.19,6.95
Dishonored,3.9,6.69,4.4399999999999995,0.21,1.5600000000000003,12.899999999999999
Devil May Cry HD Collection,3.9,0.7,0.32,0.12,0.13,1.28
The Legend of Zelda: The Minish Cap,3.9,0.89,0.22,0.22,0.1,1.42
Shin Megami Tensei: Devil Survivor,3.9,0.14,0,0.12,0.01,0.27
Mario Kart 8,3.9,3.13,2.07,1.27,0.49,6.96
Max Payne,3.9,5.9399999999999995,2.48,0.1,0.54,9.06
Tekken 3,3.9,3.27,2.22,1.4,0.29,7.16
Animal Crossing,3.9,3.84,0.32,1.98,0.18,6.3
Guitar Hero III: Legends of Rock,3.9,11.14,2.5900000000000003,0.04,2.6399999999999997,16.39
Danganronpa 2: Goodbye Despair,3.9,0.13,0.07,0.19,0.06,0.45
