DS,2010,Racing,1.8600000000000003
DS,2010,Strategy,1.2800000000000002
DS,2010,Shooter,0.99
DS,2010,Fighting,0.44
DS,2011,Action,6.760000000000001
DS,2011,Misc,6.3500000000000005
DS,2011,Strategy,3.13
DS,2011,Simulation,1.74
DS,2011,Racing,1.5899999999999999
DS,2011,Platform,1.3700000000000003
DS,2011,Role-Playing,1.12
DS,2011,Adventure,0.8599999999999999
DS,2011,Puzzle,0.6499999999999999
DS,2011,Fighting,0.43999999999999995
DS,2011,Sports,0.32
DS,2011,Shooter,0.3
DS,2012,Role-Playing,9.38
DS,2012,Action,1.24
DS,2012,Misc,0.45
DS,2012,Sports,0.08
DS,2013,Platform,0.9199999999999999
DS,2013,Action,0.64
DS,2013,Simulation,0.25
DS,2013,Misc,0.08
DS,2020,Simulation,0.29
GB,1988,Platform,1.43
GB,1989,Puzzle,37.54
GB,1989,Platform,18.14
GB,1989,Sports,5.720000000000001
GB,1989,Misc,1.28
GB,1989,Shooter,1.2
GB,1989,Role-Playing,1.1
GB,1990,Racing,3.41
GB,1990,Puzzle,1.15
GB,1990,Sports,0.33
GB,1991,Adventure,1.76
GB,1991,Role-Playing,1.1400000000000001
GB,1991,Racing,1.14
GB,1991,Puzzle,0.73
GB,1991,Platform,0.56
GB,1991,Strategy,0.18
GB,1992,Adventure,11.18
GB,1992,Platform,5.13
GB,1992,Action,3.83
GB,1992,Puzzle,3.15
GB,1992,Misc,2.19
GB,1994,Platform,12.170000000000002
GB,1995,Platform,2.36
GB,1995,Puzzle,0.94
GB,1995,Misc,0.3
GB,1996,Role-Playing,31.64
GB,1996,Platform,2.35
GB,1996,Simulation,1.45
GB,1996,Puzzle,0.58
GB,1997,Misc,2.2199999999999998
GB,1997,Simulation,1.68
GB,1997,Platform,1.48
GB,1997,Role-Playing,0.4
GB,1997,Strategy,0.37
GB,1997,Puzzle,0.22
GB,1998,Role-Playing,16.990000000000002
GB,1998,Strategy,5.3100000000000005
GB,1998,Adventure,2.22
GB,1998,Puzzle,1.93
GB,1998,Platform,0.38
GB,1999,Role-Playing,24.41
GB,1999,Misc,6.529999999999999
GB,1999,Platform,5.07
GB,1999,Strategy,1.1
GB,1999,Simulation,0.42
GB,1999,Action,0.31
GB,1999,Sports,0.17
GB,2000,Role-Playing,9.790000000000001
GB,2000,Platform,4.670000000000001
GB,2000,Sports,2.76
GB,2000,Puzzle,1.23
GB,2000,Misc,0.83
GB,2000,Strategy,0.2
GB,2000,Adventure,0.14
GB,2001,Action,3.65
GB,2001,Role-Playing,2.7700000000000005
GB,2001,Adventure,1.86
GB,2001,Strategy,0.89
GBA,2001,Platform,20.970000000000002
GBA,2001,Racing,7.750000000000001
GBA,2001,Misc,5.86
GBA,2001,Puzzle,5.7700000000000005
GBA,2001,Action,5.560000000000001
GBA,2001,Role-Playing,3.36
GBA,2001,Sports,3.3200000000000003
GBA,2001,Strategy,3.3199999999999994
GBA,2001,Adventure,2.8500000000000005
GBA,2001,Fighting,1.04
